-0.08360, 0.003488
-0.05712, -0.0002655
-0.03063, -0.003662
-0.004149, -0.004377
0.02363, 0.001449
0.03588, 0.02051
0.04490, 0.05752
0.06714, 0.2256
0.05042, 0.09016
0.05444, 0.1170
0.05767, 0.1484
0.08162, 0.2879
0.06013, 0.1733
0.06443, 0.1990
0.07290, 0.2574
0.08855, 0.3179
0.09456, 0.3435
0.1018, 0.3726
0.1090, 0.3982
0.1184, 0.4245
0.1375, 0.4507
0.1673, 0.4361
0.1800, 0.4190
0.1945, 0.3966
0.2077, 0.3724
0.2186, 0.3504
0.2282, 0.3292
0.2378, 0.3074
0.2477, 0.2783
0.2701, 0.2257
0.2631, 0.2471
0.2817, 0.1950
0.2920, 0.1642
0.2992, 0.1360
0.3064, 0.1088
0.3137, 0.08065
0.3209, 0.05312
0.3269, 0.03133
0.3373, 0.001958
0.3474, -0.03471
0.3546, -0.05765
0.3618, -0.08091
0.3702, -0.1070
0.3816, -0.1322
0.3989, -0.1517
0.4316, -0.1440
0.4594, -0.1313
0.4822, -0.1152
0.5075, -0.09471
0.5303, -0.07436
0.5532, -0.05332
0.5785, -0.03110
0.6050, -0.009471
0.6275, 0.006914
0.6580, 0.02385
0.6854, 0.02857
0.7109, 0.02673
0.7374, 0.02551
0.7639, 0.02120
0.7904, 0.01609
0.8169, 0.009964
0.8482, 0.003361
0.8746, -0.002768
0.9011, -0.004288
0.9276, -0.004377
0.9513, 0.006019
0.9673, 0.02691
0.9733, 0.04755
0.9774, 0.07148
0.9825, 0.1083
0.9866, 0.1434
0.9890, 0.1650
0.9914, 0.1872
0.9938, 0.2093
0.9966, 0.2363
0.9986, 0.2562
